Fruits              Taste
-------------       ---------------------------
Apples              Sweet
Mangoes             Sweet
Pineapples          Sour
Grapes              Sweet
Guava               Sweet
Banana              Sweet
Cherry              Sweet
Kiwi                Sour
Coconut             Watery
Jackfruit           Fleshy
Pear                Sweet
Plum                Sweet
Papaya              Sweet
Watermelon          Watery
Peach               Sweet
Lemon               Sour
Lychen              Fleshy
Pomegranate         Sweet
Orange              Sour
Strawberry          Sweet
